articleNo,articleName,tradeTypeName,tagList,dealOrWarrantPrc
2531238267,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '방두개']","6억 1,000"
2531226462,목동신시가지2단지,월세,"['25년이상', '마당', '대단지', '1층']","7억 5,000"
2531321849,목동신시가지2단지,월세,"['25년이상', '융자금없는', '올수리', '대단지']",5억
2531228664,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '탑층']",10억
2531311776,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '방두개']","6억 1,000"
2531283393,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '방두개']","6억 5,000"
2531276801,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '대형평수']",11억
2531237626,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '탑층']",10억
2531279950,목동신시가지2단지,월세,"['25년이상', '올수리', '대단지', '1층']","7억 5,000"
2531238238,목동신시가지2단지,전세,"['25년이상', '대단지', '방세개', '화장실한개']","8억 5,000"
2531265712,목동신시가지2단지,월세,"['25년이상', '마당', '대단지', '1층']","8억 5,000"
2531263405,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '방세개']","10억 5,000"
2531280363,목동신시가지2단지,전세,"['25년이상', '대단지', '방두개', '화장실한개']","6억 1,000"
2531222494,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '대형평수']",11억
2531258558,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '대형평수']",12억
2529309980,목동신시가지2단지,전세,"['25년이상', '융자금없는', '대단지', '대형평수']","10억 5,000"
2531206897,목동신시가지2단지,월세,"['25년이상', '올수리', '대단지', '1층']","7억 5,000"
2531300804,목동신시가지2단지,전세,"['25년이상', '융자금없는', '올수리', '대단지']",10억
2531205832,목동신시가지2단지,월세,"['25년이상', '대단지', '방세개', '화장실한개']",5억
2531293940,목동신시가지2단지,전세,"['25년이상', '올수리', '대단지', '방세개']","10억 5,000"
